received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-21T19:56:46.616235+00:00,147,98616,64x,300ms,25,64,0,9,86,68,183,71,21,10,7,4,244
2026-09-21T19:56:47.335008+00:00,148,99329,64x,300ms,25,64,0,9,86,68,183,71,20,10,7,4,244
2026-09-21T19:56:48.046444+00:00,149,100040,64x,300ms,25,64,0,9,86,68,183,71,20,10,7,4,244
2026-09-21T19:56:48.767144+00:00,150,100753,64x,300ms,25,64,0,9,86,68,184,70,20,10,7,3,244
2026-09-21T19:56:49.480555+00:00,151,101465,64x,300ms,25,64,1,9,86,68,184,71,21,10,7,3,244
2026-09-21T19:56:50.198770+00:00,152,102177,64x,300ms,25,64,1,9,86,68,184,71,21,10,7,3,244
2026-09-21T19:56:50.918579+00:00,153,102889,64x,300ms,25,64,1,9,86,68,183,70,21,10,7,3,244
2026-09-21T19:56:51.639451+00:00,154,103602,64x,300ms,25,64,1,9,86,68,183,71,21,10,7,3,244
2026-09-21T19:56:52.351096+00:00,155,104313,64x,300ms,25,64,1,9,85,69,184,71,21,10,7,4,244
2026-09-21T19:56:53.063424+00:00,156,105026,64x,300ms,25,64,0,9,85,68,184,71,21,10,7,4,244
2026-09-21T19:56:53.783124+00:00,157,105738,64x,300ms,25,64,0,9,86,68,184,71,21,10,7,4,244
2026-09-21T19:56:54.504542+00:00,158,106450,64x,300ms,25,64,0,9,86,68,184,71,20,10,7,3,244
2026-09-21T19:56:55.215262+00:00,159,107164,64x,300ms,25,64,0,9,86,68,184,71,20,10,7,4,244
2026-09-21T19:56:55.934319+00:00,160,107876,64x,300ms,25,64,0,9,86,68,184,71,21,10,7,4,244
2026-09-21T19:56:56.646371+00:00,161,108589,64x,300ms,25,64,1,9,86,68,184,71,21,10,7,3,244
2026-09-21T19:56:57.367273+00:00,162,109300,64x,300ms,25,64,1,9,86,69,184,71,21,10,7,4,244
2026-09-21T19:56:58.079274+00:00,163,110013,64x,300ms,25,64,1,9,86,68,184,70,21,10,7,4,244
2026-09-21T19:56:58.798440+00:00,164,110725,64x,300ms,25,64,1,9,86,68,184,70,21,10,7,3,244
2026-09-21T19:56:59.518732+00:00,165,111436,64x,300ms,25,64,1,9,85,68,184,71,21,10,7,4,244
2026-09-21T19:57:00.231329+00:00,166,112149,64x,300ms,25,64,0,9,86,68,183,70,21,10,7,3,244
2026-09-21T19:57:00.951787+00:00,167,112862,64x,300ms,25,64,0,9,85,69,184,71,21,10,7,4,244
2026-09-21T19:57:01.663218+00:00,168,113573,64x,300ms,25,64,0,9,85,69,184,70,21,10,7,3,242
2026-09-21T19:57:02.382826+00:00,169,114286,64x,300ms,25,64,0,9,98,74,184,71,21,10,8,3,256
