received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:37:57.830405+00:00,135,97397,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,41,1592
2026-09-15T20:37:58.550213+00:00,136,98120,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,41,1591
2026-09-15T20:37:59.271354+00:00,137,98841,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,41,1592
2026-09-15T20:37:59.997179+00:00,138,99563,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:00.717185+00:00,139,100286,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,41,1591
2026-09-15T20:38:01.437406+00:00,140,101008,128x,300ms,25,64,1,67,547,484,1529,547,176,92,66,42,1592
2026-09-15T20:38:02.166031+00:00,141,101730,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:02.885700+00:00,142,102453,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1591
2026-09-15T20:38:03.605752+00:00,143,103176,128x,300ms,25,64,0,67,547,484,1529,546,177,92,66,42,1590
2026-09-15T20:38:04.325956+00:00,144,103898,128x,300ms,25,64,0,67,547,484,1528,546,176,92,67,42,1592
2026-09-15T20:38:05.053477+00:00,145,104621,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:05.774475+00:00,146,105342,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:06.493450+00:00,147,106065,128x,300ms,25,64,1,66,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:07.213832+00:00,148,106787,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,41,1592
2026-09-15T20:38:07.941787+00:00,149,107509,128x,300ms,25,64,1,67,547,484,1528,547,177,92,66,42,1592
2026-09-15T20:38:08.661078+00:00,150,108231,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:09.381708+00:00,151,108953,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:10.109957+00:00,152,109676,128x,300ms,25,64,0,66,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:10.829954+00:00,153,110399,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,41,1591
2026-09-15T20:38:11.550394+00:00,154,111121,128x,300ms,25,64,0,66,547,483,1528,546,176,92,66,42,1591
2026-09-15T20:38:12.277354+00:00,155,111844,128x,300ms,25,64,0,66,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:12.997151+00:00,156,112567,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:13.718303+00:00,157,113289,128x,300ms,25,64,1,67,547,484,1527,546,176,92,66,41,1592
2026-09-15T20:38:14.437349+00:00,158,114011,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1592
2026-09-15T20:38:15.165492+00:00,159,114734,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,41,1591
